ticker_i,ticker_j
A,DHR
A,IQV
A,MTD
A,RVTY
A,TECH
A,TMO
A,WAT
AAPL,ADBE
AAPL,ANSS
AAPL,CDNS
AAPL,GOOG
AAPL,GOOGL
AAPL,MSFT
AAPL,ORCL
ABBV,AMGN
ABBV,BMY
ABBV,COR
ABBV,GILD
ABBV,INCY
ABBV,LLY
ABBV,MCK
ABBV,MRK
ABBV,PFE
ABBV,VRTX
ABBV,VTRS
ABT,BAX
ABT,BDX
ABT,STE
ABT,TMO
ABT,ZTS
ACGL,CB
ACGL,CINF
ACGL,EG
ACGL,TRV
ACGL,WRB
ACN,ADP
ACN,BR
ACN,CSCO
ACN,CTSH
ACN,FI
ACN,FIS
ACN,MA
ACN,MCO
ACN,PAYX
ACN,ROP
ACN,V
ACN,VRSN
ADBE,ANSS
ADBE,CRM
ADBE,GOOG
ADBE,GOOGL
ADBE,INTU
ADBE,MSFT
ADBE,NOW
ADBE,WDAY
ADI,AMAT
ADI,AVGO
ADI,MCHP
ADI,NXPI
ADI,ON
ADI,SWKS
ADI,TER
ADI,TXN
ADM,BG
ADM,CF
ADM,DE
ADM,EQT
ADM,IP
ADM,TAP
ADP,CTAS
ADP,CTSH
ADP,FI
ADP,LDOS
ADP,MMC
ADP,MSI
ADP,PAYX
ADP,ROP
ADP,RSG
ADP,VRSK
ADP,WM
ADSK,ANET
ADSK,ANSS
ADSK,CDNS
ADSK,CRM
ADSK,CSGP
ADSK,EPAM
ADSK,PTC
ADSK,SNPS
ADSK,WDAY
AEE,AEP
AEE,ATO
AEE,CMS
AEE,D
AEE,DUK
AEE,ES
AEE,EVRG
AEE,LNT
AEE,NI
AEE,SO
AEE,XEL
AEP,CMS
AEP,D
AEP,ED
AEP,ES
AEP,LNT
AEP,WEC
AEP,XEL
AES,AMCR
AES,BG
AES,CNP
AES,NEM
AES,NRG
AES,PCG
AFL,AIG
AFL,AXP
AFL,GL
AFL,HIG
AFL,L
AFL,PFG
AFL,RTX
AIG,AXP
AIG,GL
AIG,HIG
AIG,L
AIG,PFG
AIZ,ALL
AIZ,CB
AIZ,EG
AIZ,ERIE
AIZ,GL
AIZ,HIG
AIZ,TRV
AJG,ALL
AJG,AON
AJG,BRO
AJG,MMC
AJG,WTW
AKAM,EA
AKAM,EBAY
AKAM,GEN
AKAM,JNPR
AKAM,TTWO
ALB,DD
ALB,FSLR
ALB,GNRC
ALB,IFF
