,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
A,0.26781448718896056,13.454074068278503,0.9750771590384165,-6.498643758343207,2.211397633733544,3.3722346934972642,2.514132148761427,11.840943614421244,2.9650631000630265,-4.041386026269911,-3.155665858367344,-4.274597915358628,3.573032205487152,-6.467952753856091,-5.818935790030536,-1.6587274608337461,3.286464551535653,3.5477390400611646,-0.07288774656072423,-0.5831841306979042
AAPL,-0.5847924996779843,17.083442966735014,-0.5202220675881777,-0.5086639542095794,1.3885021793253096,5.500516466570137,-5.532745547390483,-5.159201355841655,1.1227775986159472,-1.2146803515536084,2.4067963521114155,-1.2018843140548214,-6.419899771402004,3.667525953117071,2.220747392500015,0.1084541394121741,-0.6758710251384012,2.379665792904976,-0.9418511640990068,-1.1306336773488697
ABBV,6.432043431289543,2.6681587422414563,13.11457908438369,1.819186355768829,9.822688148154594,-4.939985356809285,3.831336427009496,8.347854662611713,6.654378335522292,0.11728933849956741,5.0039509294225475,-1.58931873416684,-2.6649817416533446,2.058828400342127,2.220681466403631,-7.258594170053933,-3.396609892251508,3.9456991566599666,5.871314400848508,-1.5501765056148091
ABT,10.53519492964588,11.135882049185977,5.513220642618765,-9.428303925030267,8.355397285960539,0.4456293427331912,1.7529579538103959,10.601081265016402,4.361464676279995,-3.8761330233804383,-4.062488865829142,-3.7999616316114833,-0.35317510070843605,-0.49289320486406496,-2.791173588465863,-3.549441579961067,0.3437006830298507,-1.4018151305324675,3.1992145471290043,0.9521132726934409
ACGL,0.3146076941514749,-13.392711579660453,-1.429298640357206,-7.612791353218107,10.624769981723635,-0.9634578361511459,-1.540803901207067,-7.70108118319484,1.1612059099651049,5.680977433527032,3.094274890507002,3.7739076536526857,8.344615545501343,0.6906745532082262,-9.042750805475896,-4.347708737155533,-4.0210452700721415,-6.056198909217527,-5.336872110469056,-1.7392284248292071
ACN,-0.19688679343171836,9.039084614397282,-4.49528652179874,-7.812178930392244,5.555975954925839,3.9550768285192963,-0.3696891479146711,-3.289383303420464,-2.8851513698385163,-4.365329740205236,0.2849523818706271,-2.674806828727498,-3.9335206451746165,-2.192551299794092,1.472443913534433,-1.5160770323032395,-2.779936617370529,-1.715311295354464,-2.8864712459884094,1.358964556071968
ADBE,0.21542401726239302,24.023143141234215,-2.8515860488420013,1.4704143615348213,7.817888017618156,4.939396708643457,-5.082006463412154,-4.978400974518273,-4.403061841366314,-0.7166834662186076,0.5104015124939023,1.9548918611410382,-4.496604253584512,-0.09089857631349889,5.246581757521958,-0.05698105414347237,-0.801827326564595,0.5502324142492448,-3.996551432694076,-2.3885887742434337
ADI,-9.874254944676407,14.503753565354183,-3.7671119522154326,-0.6492599648836443,-4.29436975917686,7.9784364620006585,-6.097024705537456,-2.0348036096589266,9.687811557216342,6.4366440973579575,7.568655584394749,-7.6929183353070005,-2.0400979249805737,-2.2352815769205043,-1.1414969410911424,0.06564572728397805,3.5368384011422553,1.7671923015443187,0.06443339629719061,5.352239289106196
ADM,-0.623455084042444,-10.072621941822677,10.049157474026488,0.7935211024998076,-3.6097269158774923,4.1769189648130185,-1.597684444726123,-0.6958297542264326,0.7514343747364843,0.615791565489814,0.907797477586453,-2.9256317566690844,1.4691417913904123,-1.866352063809732,0.014056870932001647,3.7513170365321447,1.5403027779108993,0.9996210861673048,-3.0592549278326846,-0.012786984187423597
ADSK,-6.392920496288678,18.837063891009187,-4.235177555530113,1.204645948009285,3.512410942346963,3.815480499416876,-3.419682125626725,0.022903877556760748,-1.203005445577493,-3.8139488206434073,-1.1193432360173112,0.37351871618390514,1.4020724057118061,-1.3955662068240051,2.8749007717216792,2.84447240629628,-1.1123740435927854,-1.5465756035736649,-0.7721709565988711,-1.0449174414386047
AEE,31.33651029185439,-11.429169577724341,-5.85977182441387,0.571757545335482,-2.4703594201445664,9.104249226556329,-4.455775240770798,-0.0004729024341343169,4.869269937587939,5.319779231141041,-5.794448123053832,5.40285431927324,-2.3461057805581778,-1.742163169788177,1.4790402862576768,-0.137827394533763,0.01711590789052163,-0.805713387335013,1.0459196401940503,0.6669188529838437
AEP,32.56316085795941,-11.782637444819622,-5.566618864471308,2.9018726790224596,-4.59294342006521,7.680683990012172,-6.003016644845558,1.065505490225658,4.5247241703095655,4.4356962842552194,-7.086508422195796,4.53636396152326,0.19205110339999382,-0.11043682397378042,2.207601179119738,-0.7778108150457371,0.302751768722262,-0.5193357852757606,1.7546366508155835,0.33644311906116076
AES,2.6680711219813444,-6.832416801801007,-7.005684856999821,10.459178017738974,-3.3407819485798846,5.572149491049873,1.8427931521615262,1.9615995138484998,1.5982535516200822,7.283543715450895,-6.418669640812403,-3.9897009770950307,4.64586880156944,-3.639069219276679,1.4803698374324334,-0.11637639121585107,-1.5930932918124339,3.3262169215271227,-1.909530543277034,-4.829355537324575
AFL,-6.420034356358044,-16.436954961451534,-2.3484595976771074,-4.503433080522978,8.506832728106017,-1.2895537823084435,1.9791780668849779,-4.163823197916665,1.0655281562374932,2.606715057456465,0.9965504371335859,-1.7789344200730406,2.8440401523671035,3.421437954744677,-1.6030108768121405,-0.05658222684062169,2.2299225078598504,0.8263917236507863,0.2159569728444031,-1.650164338384983
AIG,-13.50748008813024,-15.693309788033353,-1.3963272836248917,-3.4625729127770817,6.918337198859128,-3.0027696117785054,-1.1657279735168375,-4.113375002504523,0.2951893778801998,5.220319723931774,-1.2614562424730222,-1.6418685146528693,3.228579293138889,3.0336979117720357,-0.7325059053548505,-1.8898265300673167,-0.26023100862357723,-3.4346844235990712,-1.1622148619662627,-1.6767724253555611
AIZ,-1.8948608712191737,-9.673631172507575,1.800558892323464,-4.727220789892628,5.324540095413606,-2.717876133897317,-0.33333410108275974,-3.831494032388683,-3.9720364902741556,9.190965289289501,1.9846421989811778,0.7214031912944598,7.036791567308354,-0.3170979422182919,-1.8734072044368957,-5.484223408849862,-2.921836967196593,0.2507717822261495,-7.542932618314101,1.2269470677595797
AJG,4.76417051889858,-1.8568176945915844,-1.4397835187132964,-10.428153094961873,11.244620709634573,2.944791569904403,5.40571930277069,-8.655312300960336,-2.714735789653716,2.6764297631937337,1.1268780445511768,-0.16976391223813045,8.756844858456876,4.429059955420467,-8.271412629345031,-1.2655489274205771,-8.891379896257845,4.413295063540974,-2.5041630789673297,5.884286018370929
AKAM,4.332907546693785,15.035002102675113,8.996134241993351,0.6297919691511061,-1.8606292480351112,-0.17509822728812152,-5.936435393405549,1.565802845425471,-3.3380923510836156,-5.6429617530588105,-1.2326421778343002,5.692051535442561,0.3384082609730413,3.2577114926408415,3.057154517115707,0.4673257537193017,0.8833017791391976,-3.2290334090721733,-2.776502121264863,4.5682523334786245
ALB,-7.338985071480449,3.083947884633816,0.7940885644158232,3.578724562977545,-10.863296253964542,4.755051559738602,-4.278425274205148,7.051890613530572,1.630713367762139,-2.393368169334554,-3.3477355006215155,2.678653891177206,3.9423132176782953,-3.2627253224579227,-5.115373172915107,3.3766575867563264,1.1883012031457627,-0.20371090503342054,-3.8808770463608484,-4.634649981676785
ALGN,-4.1350599104363335,11.51171204347395,-5.902426449333826,5.505853018157677,0.7351255157170757,-1.9472215717451349,0.1754198644200285,6.929026461789165,4.497208092844312,-2.3220296319798512,-5.06217937441803,0.2696426025647489,1.6705097899814503,-1.059888119703105,-4.576855072725207,0.8597786728014664,3.2536333723737285,-1.8852289660683943,0.39320891902367583,0.9714766490225122
ALL,2.192714598520664,-11.625405273246086,3.933432456475318,-7.560379848887383,6.451527581901583,-1.5754313662357946,0.2267214892219339,-5.023267277387965,-3.1812278209427403,5.167192288748691,-0.24711319183657224,-1.2488842031986316,6.117808342213078,1.703045676115423,-2.3147227591462047,-2.704394901709702,-3.2111917345476417,-0.7772308919707498,-2.730796153057312,3.5717738423893524
ALLE,-2.5862194000185665,-0.2956872920016683,-5.41283925886248,-8.975911141547526,-5.181247619001546,-0.19161156239505697,2.869463691129728,1.5752778075130416,0.1474793615433022,-5.374479060979166,2.7911978010359197,2.3714715109162814,-0.47539991167297274,0.7945590826013039,2.580149367720533,-1.547986532536227,3.0020122667938844,-5.354399452027693,0.6145038457725109,2.0080020395395626
